"","Notes.F.S.","flag","ID","taxonomy.genus","taxonomy.sp","taxonomy.subsp","taxonomy.orig_genus","taxonomy.sp_author","taxonomy.gen_author","taxonomy.orig_sp","taxonomy.subgen","taxonomy.gen_status","taxonomy.sp_status","ref.pic","cephalon","cranidium","pygidum","morphology.eyes","morphology.ontogeny","geography.locality","geography.country","geography.lat","geography.long","geography.state","geography.county","stratigraphy.formation","stratigraphy.min_age","stratigraphy.max_age","stratigraphy.ref_age","stratigraphy.basin","stratigraphy.environment","enterer.metadata","enterer.landmark","enterer.date"
"193",NA,"x","UMMP_31317","Anchiopsis","Anchiopsis anchiops",NA,"Calymene","Green 1832","Delo 1935","anchiops",NA,NA,NA,"Stumm 1954",TRUE,NA,NA,TRUE,"holaspis","Southwest Ontario","United States",34.8937467742784,-118.553081452521,"Ontario",NA,"Bois Blanc Formation","Middle Devonian",NA,"Stumm 1954",NA,NA,NA,NA,NA
"194",NA,"x","USNMPAL_373954","Francovichia","Francovichia branisi",NA,"Francovichia","Wolfart 1968","Branisa and Vanek 1973","francovichi",NA,NA,NA,"Branisa 1965",TRUE,NA,NA,TRUE,"holaspis","Limabamba","Bolivia",-19.5333619622509,-64.3666662948223,"Prov Tomina","Depto. Chuquisaca",NA,"Emsian",NA,"Branisa 1965",NA,NA,NA,NA,NA
"195",NA,"x","WAM_07301","Palpebralia","Palpebralia initialis",NA,"Palpebralia","Feist and McNamara 2013","Richter and Richter 1927","initialis",NA,NA,NA,"Feist and McNamara 2013",TRUE,NA,NA,TRUE,"holaspis","Windy Knolls","Australia",-31.0749985857783,116.180387602821,"Western Australia",NA,"Virgin Hills Formation","Frasnian",NA,"Feist and McNamara 2013","Canning basin","carbonate",NA,NA,NA
"197",NA,"lm.miss","WAM_1140","Rudybole","Rudybole adorfensis",NA,"Drevermania","Richter 1912","Feist and McNamara 2013","adorfensis",NA,NA,NA,"Feist and McNamara 2013",TRUE,NA,NA,TRUE,"holaspis","Horse Spring","Australia",-16.3583289493778,130.965675572865,"Western Australia",NA,"Virgin Hills Formation","Frasnian",NA,"Feist and McNamara 2013","Canning basin",NA,NA,NA,NA
"199","Lochkovian - Famennian","to.inc.lochkovian","YPM_33805","Proetus","Proetus latifrons",NA,"Forbesia","McCoy 1846","Steininger 1831","latifrons",NA,NA,NA,"Lieberman 1994",TRUE,NA,NA,TRUE,"holaspis","Dudley","England",52.5160182594989,-2.09428116523503,NA,"West Midlands","Coalbrookdale Formation","Wenlock",NA,"Owens 1973",NA,NA,NA,NA,NA
"201",NA,"x","WAM-07.286","Acuticryphops","Acuticryphops acuticeps",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,-18.721917,126.016389,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"202",NA,"x","UM-IP-894","Acutiphacops","Acutiphacops medius",NA,NA,NA,NA,NA,NA,NA,NA,"Feist and Klapper 2022",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,43.556786,3.355572,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"204",NA,"x","NHMM-2016-007","Adrisiops","Adrisiops weugi",NA,NA,NA,NA,NA,NA,NA,NA,"VanViersen et al 2017b",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,31.012406,-5.067447,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"205",NA,"lm.miss","Alberti_1983-7.87","Afrops","Afrops larvifer",NA,NA,NA,NA,NA,NA,NA,NA,"Alberti 1983",TRUE,TRUE,NA,NA,"holaspis",NA,NA,31.924133,-1.840125,NA,NA,NA,"Pragian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"206",NA,"x","Maksimova-1978-2.1b","Ainasuella","Ainasuella ainasuensis",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1978",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Lochkovian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"207","(Valentine => no information)","no.age","Maksimova-1978-2.3b","Altaesajania","Altaesajania primitiva",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1978",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"208",NA,"no.devo","NM-9324","Ananaspis","Ananaspis fecunda fecunda",NA,NA,NA,NA,NA,NA,NA,NA,"Chlupac 1977",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Ludlow",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"209",NA,"lm.miss","Maksimova-1968-20.2","Angulophacops","Angulophacops angulatus",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1968",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"210",NA,"x","SMF-24603","Arduennops","Arduennops michelsi",NA,NA,NA,NA,NA,NA,NA,NA,"Franke 2010",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,49.964306,5.928778,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"212",NA,"x","UA-6884","Austerops","Austerops kermiti",NA,NA,NA,NA,NA,NA,NA,NA,"McKellar and Chatterton 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,30.83925,-4.882972,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"213",NA,"x","WAM-07.273","Babinops","Babinops minor",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"214",NA,"x","UA-6897","Boeckops","Boeckops stelcki",NA,NA,NA,NA,NA,NA,NA,NA,"McKellar and Chatterton 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,30.796667,-4.905639,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"215",NA,"x","Becker-etal_2017-4d","Burtonops","Burtonops cristatus",NA,NA,NA,NA,NA,NA,NA,NA,"Becker et al 2017",TRUE,TRUE,NA,TRUE,"holaspis",NA,NA,41.176972,-74.296833,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"216",NA,"x","UM-IP-712","Chlupacops","Chlupacops laticeps",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2016",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,29.958778,-2.102167,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"218",NA,"x","UM-IP-862","Cronierella","Cronierella gallica",NA,NA,NA,NA,NA,NA,NA,NA,"Feist and Klapper 2022",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,43.556786,3.355572,NA,NA,NA,"Givetian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"219",NA,"x","SMF-57513","Cryphops","Cryphops cryptophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier and Feist 2000",TRUE,TRUE,NA,TRUE,"holaspis",NA,NA,50.742806,8.362528,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"220","Lochkovian - Pragian","to.inc.lochkovian","Ich-3441","Denckmannites","Denckmannites volborthi",NA,NA,NA,NA,NA,NA,NA,NA,"Chlupac 1977",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,50.002359,14.354408,NA,NA,NA,"Ludlow",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"222",NA,"x","Brauckmann_1986-6.5a","Dienstina","Dienstina diensti",NA,NA,NA,NA,NA,NA,NA,NA,"Brauckmann and Brauckmann 1986",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"223",NA,"x","SMF-49340","Drotops","Drotops megalomanicus",NA,NA,NA,NA,NA,NA,NA,NA,"Struve 1995",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,31.1125,-5.168333,NA,NA,NA,"Givetian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"224",NA,"lm.miss","Basse-Muller_2000-3.19","Ductina","Ductina ductifrons",NA,NA,NA,NA,NA,NA,NA,NA,"Basse and Müller 2000",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"225",NA,"x","CEGH-UNC_26130","Echidnops","Echidnops taphomimus",NA,NA,NA,NA,NA,NA,NA,NA,"Rustan and Balseiro 2016",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,-30.304694,-68.948,NA,NA,NA,"Lochkovian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"226","(Valentine => Upper Silurian to Emsian)","to.inc.emsian","Tr-229","Echinophacops","Echinophacops mirabilis",NA,NA,NA,NA,NA,NA,NA,NA,"Zhou 1983",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"227",NA,"x","AMNH_28896","Eldredgeops","Eldredgeops rana milleri",NA,NA,NA,NA,NA,NA,NA,NA,"Burton and Eldredge 1974",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,41.679167,-83.745972,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"228",NA,"x","NHM-It-19284","Eocryphops","Eocryphops albertii",NA,NA,NA,NA,NA,NA,NA,NA,"Holloway 2005",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,31.088956,-4.883503,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"230",NA,"x","MUST-RCSR-TRI-0001","Feistops","Feistops mongoliensis",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier et al 2020",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"232",NA,"x","UM-IP-948","Girardina","Girardina konradbartzschi",NA,NA,NA,NA,NA,NA,NA,NA,"Feist and Klapper 2022",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,50.628028,11.847628,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"233",NA,"x","NHMM_2016-055","Hottonops","Hottonops daumeriesi",NA,NA,NA,NA,NA,NA,NA,NA,"VanViersen et al 2017a",TRUE,NA,NA,TRUE,"holaspis",NA,NA,50.256,5.467083,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"234",NA,"x","WAM-07.266","Houseops","Houseops canningensis",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,-18.721917,126.016389,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"235",NA,"x","SMF-49402","Hypsipariops","Hypsipariops vagabundus",NA,NA,NA,NA,NA,NA,NA,NA,"Struve 1995",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,31.1125,-5.168333,NA,NA,NA,"Givetian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"236",NA,"lm.miss","SMF-55933","Illaenula","Illaenula struvei",NA,NA,NA,NA,NA,NA,NA,NA,"Basse and Müller 2000",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"238",NA,"x","ANU_35207","Kainops","Kainops microps",NA,"Paciphacops","Chatterton et al 1979","Ramsköld and Werdelin 1991","microps",NA,NA,NA,"Chatterton et al 1979",TRUE,NA,NA,TRUE,"holaspis","Wellington Caves","Australia",-32.621379,148.938024,"New South Wales","Wellington","Garra Formation","Lochkovian","Pragian","Chatterton et al 1979","Lachland basin","carbonate","Munoz DF","Serra F",NA
"240",NA,"x","NM-L-9332","Lochkovella","Lochkovella misera",NA,NA,NA,NA,NA,NA,NA,NA,"Chlupac 1977",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,50.002359,14.354408,NA,NA,NA,"Lochkovian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"241",NA,"x","NHMM_2016-057","Loreleiops","Loreleiops suffeleersi",NA,NA,NA,NA,NA,NA,NA,NA,"VanViersen et al 2017a",TRUE,NA,NA,TRUE,"holaspis",NA,NA,50.265667,5.434833,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"242",NA,"x","IRSBNa13216","Megraneops","Megraneops renateae",NA,NA,NA,NA,NA,NA,NA,NA,"VanViersen and Vanherle 2018",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"243",NA,"x","UA-13295","Morocops","Morocops granulops",NA,NA,NA,NA,NA,NA,NA,NA,"Chatterton et al 2006",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,29.710333,-6.708694,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"244",NA,"lm.miss","GT-464","Nandanaspis","Nandanaspis laevigatus",NA,NA,NA,NA,NA,NA,NA,NA,"Yin et al 1978",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"245",NA,"???","P307225","Nephranomma","Nephranomma sweeti",NA,NA,NA,NA,NA,NA,NA,NA,"Sandford 2003",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Pragian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"246",NA,"lm.miss","SMF-97026","Nephranops","Nephranops incisus",NA,NA,NA,NA,NA,NA,NA,NA,"Feist 2019",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"247",NA,"x","IRSBNa12430","Nyterops","Nyterops hollandi",NA,NA,NA,NA,NA,NA,NA,NA,"VanViersen 2007",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,50.089861,5.179056,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"248",NA,"x","UM-IP-906","Occitanella","Occitanella hexagonalis",NA,NA,NA,NA,NA,NA,NA,NA,"Feist and Klapper 2022",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,43.596997,3.354633,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"249",NA,"x","GUGM-1359","Omegops","Omegops tilabadensis",NA,NA,NA,NA,NA,NA,NA,NA,"Pour et al 2018",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"252","Eifelian - Givetian","to.inc.eifelian","Cronier-etal_2015-3J","Pedinopariops","Pedinopariops insequens",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier et al 2015",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,50.032674,14.35152,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"255",NA,"x","MU-G-Sr.Tr.S7Ph001","Phacops","Phacops ouarouroutensis",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier et al 2018",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,30.073275,-2.231894,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"256",NA,"x","Alberti_1983-8.90","Plagiolaria","Plagiolaria senex",NA,NA,NA,NA,NA,NA,NA,NA,"Alberti 1983",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,31.924133,-1.840125,NA,NA,NA,"Pragian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"257",NA,"x","Sandford-2004-3A","Prokops","Prokops prokopi",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier et al 2015",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,50.025111,14.379655,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"258",NA,"lm.miss","SMF-X540d","Pulvinocephalus","Pulvinocephalus steinachensis",NA,NA,NA,NA,NA,NA,NA,NA,"Feist 2019",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"259",NA,"x","Feist-etal_2020-4d","Rabienops","Rabienops wedeckindi",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2020",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"260",NA,"x","UA-6843","Reedops","Reedops bronni",NA,NA,NA,NA,NA,NA,NA,NA,"McKellar and Chatterton 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,30.895122,-4.963267,NA,NA,NA,"Pragian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"261",NA,"x","Tr-240","Rhinophacops","Rhinophacops schizoloma",NA,NA,NA,NA,NA,NA,NA,NA,"Kaneko 1990",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"262",NA,"x","Maksimova-1978-3.9","Rhinoreedops","Rhinoreedops rhinoceras",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1978",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"263",NA,"x","NM-IT-391a","Signatops","Signatops signatus",NA,NA,NA,NA,NA,NA,NA,NA,"Chlupac 1977",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,49.918615,14.070078,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"264",NA,"x","SMF-X564e","Spinicryphops","Spinicryphops lemkei",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier and Feist 2000",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,51.381811,7.852769,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"266",NA,"lm.miss","SMF-57520","Struveops","Struveops schlosseri",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier and Feist 2000",TRUE,TRUE,NA,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"267",NA,"???","SMF-24417","Struvephacops","Struvephacops werneri",NA,NA,NA,NA,NA,NA,NA,NA,"Struve 1995",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"269",NA,"x","SMF-24467","Teichertops","Teichertops soetenicus",NA,NA,NA,NA,NA,NA,NA,NA,"Struve 1970",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Givetian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"270",NA,"x","Tr-339","Toxophacops","Toxophacops cristata",NA,NA,NA,NA,NA,NA,NA,NA,"Zhou and Campbell 1990",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"271",NA,"lm.miss","UM-IP-722","Trifoliops","Trifoliops trifolius",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2016",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,29.960444,-2.103028,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"272",NA,"lm.miss","WAM-07.277","Trimerocephaloides","Trimerocephaloides sinevisus",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2009",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,-18.721917,126.016389,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"274",NA,"x","AMNH_28902","Viaphacops","Viaphacops stummi",NA,NA,NA,NA,NA,NA,NA,NA,"Eldredge 1973",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"275",NA,"x","SMF-57512","Weyerites","Weyerites wocklumeriae",NA,NA,NA,NA,NA,NA,NA,NA,"Crônier and Feist 2000",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,51.379944,7.851806,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"279",NA,"x","MUA_1094_001","Phacops","Phacops tamtertensis",NA,"Phacops","Cronier et al 2013","Emmrich 1839","tamtertensis",NA,NA,NA,"Cronier et al 2013",TRUE,NA,NA,TRUE,"holaspis","Zereg","Algeria",29.917063,-1.919666,"Bechar","Tamtert","Argiles de Marhouma Formation","Famennian",NA,"Cronier et al 2013","Tindouf","carbonate","Munoz DF","Serra F",NA
"280",NA,"lm.miss","MUA_1094_007","Trimerocephalus","Trimerocephalus caecus",NA,"Phacops","Gürich 1896","McCoy 1849","caecus",NA,NA,NA,"Cronier et al 2013",TRUE,NA,NA,NA,"holaspis","Cheffar-El-Ahmar","Algeria",29.968699,-2.072511,"Bechar","Tamtert","Argiles de Marhouma Formation","Famennian",NA,"Cronier et al 2013","Tindouf","carbonate","Munoz DF","Serra F",NA
"281",NA,"lm.miss","MUA_1094_011","Dianops","Dianops vicarius",NA,"Dianops","Chlupác 1961","Richter and Richter 1923","typhlops vicarius",NA,NA,NA,"Cronier et al 2013",TRUE,NA,NA,NA,"holaspis","Zereg","Algeria",29.917063,-1.919666,"Bechar","Tamtert","Argiles de Marhouma Formation","Famennian",NA,"Cronier et al 2013","Tindouf","carbonate","Munoz DF","Serra F",NA
"282",NA,"x","MUGSr_A4_Ph123","Chotecops","Chotecops hoseri",NA,"Phacops (Chotecops)","Hawle and Corda 1847","Chlupác 1971","hoseri",NA,NA,NA,"Cronier et al 2016",TRUE,NA,NA,TRUE,"holaspis","Saoura Valley","Algeria",30.086644,-2.22791,"Béchar",NA,"Chefar el Ahmar Formation","Eifelian",NA,"Cronier et al 2016","Ougarta Basin","carbonate","Munoz DF","Serra F",NA
"283",NA,"x","MUGSr_S7_Ph003","Struveaspis","Struveaspis maroccanica",NA,"Struveaspis","Alberti 1970","Alberti 1966","maroccanica",NA,NA,NA,"Cronier et al 2018",TRUE,NA,NA,TRUE,"holaspis","Saoura Valley","Algeria",30.086644,-2.22791,"Béchar",NA,"Chefar el Ahmar Formation","Eifelian",NA,"Cronier et al 2018","Ougarta Basin","carbonate","Munoz DF","Serra F",NA
"284",NA,"x","NHMM_2016_006","Geesops","Geesops schlotheimi",NA,"Phacops","Bronn 1825","Struve 1972","schlotheimi",NA,NA,NA,"Van Viersen et al 2017",TRUE,NA,NA,TRUE,"holaspis","Trilobitenfelder","Germany",50.216748,6.683676,"Rhineland-Palatinate","Vulkaneifel","Ahrdorf Formation","Eifelian",NA,"Van Viersen et al 2017",NA,"carbonate","Munoz DF","Serra F",NA
"285","Eifelian","to.inc.eifelian","NML_8917","Phacopidella","Phacopidella glockeri",NA,"Phacops","Barrande 1846","Reed 1905","glockeri",NA,NA,NA,"Chlupac 1977",TRUE,NA,NA,TRUE,"holaspis","Lodenice","Czech Republic",49.983702,14.177715,"Prague",NA,"Liten Formation","Wenlock",NA,"Clupac 1977","Prague","siliciclastic","Munoz DF","Serra F",NA
"286",NA,"x","YPM_6594-4","Paciphacops","Paciphacops logani",NA,"Phacops","Hall 1861","Marksimova 1972","logani","Paciphacops",NA,NA,"Campbell 1977",TRUE,NA,NA,TRUE,"holaspis","John Boyd Thacher State Park","United States",42.656294,-74.016483,"New York","Albany","New Scotland Formation","Devonian",NA,"Campbell 1977","New York","carbonate","Munoz DF","Serra F",NA
